time=2020-02-24T10:58:15.503Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[972]:main | msg=Orion Context Broker is running
time=2020-02-24T10:58:15.522Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.522Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.522Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.522Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.524Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.524Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.524Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.524Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.525Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.525Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.525Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.526Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.530Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.531Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.531Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.531Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.532Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.532Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.532Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.533Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.535Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.535Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.535Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.535Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.539Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T10:58:15.539Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T10:58:15.539Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T10:58:15.539Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T10:58:15.540Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[247]:mongoInit | msg=Connected to mongo at localhost:27017:ftest
time=2020-02-24T10:58:15.583Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { location.coords: "2dsphere" })
time=2020-02-24T10:58:15.599Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { expDate: 1 })
time=2020-02-24T10:58:15.601Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[94]:collectionQuery | msg=Database Operation Successful (query: {})
time=2020-02-24T10:58:15.607Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1098]:main | msg=Startup completed
time=2020-02-24T10:58:16.504Z | lvl=INFO | corr=8f567c5c-56f4-11ea-92c8-0242ac110002 | trans=1582541895-505-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37234/v2/noService
time=2020-02-24T10:58:16.505Z | lvl=WARN | corr=8f567c5c-56f4-11ea-92c8-0242ac110002 | trans=1582541895-505-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 0.0.0.0: service '/v2/noService' not found
time=2020-02-24T10:58:16.505Z | lvl=INFO | corr=8f567c5c-56f4-11ea-92c8-0242ac110002 | trans=1582541895-505-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:17.219Z | lvl=INFO | corr=8fc39242-56f4-11ea-8054-0242ac110002 | trans=1582541895-505-00000000002 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37236/v2/entities
time=2020-02-24T10:58:17.219Z | lvl=INFO | corr=8fc39242-56f4-11ea-8054-0242ac110002 | trans=1582541895-505-00000000002 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:17.925Z | lvl=INFO | corr=902f4a50-56f4-11ea-b863-0242ac110002 | trans=1582541895-505-00000000003 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37238/v2/entities
time=2020-02-24T10:58:17.925Z | lvl=INFO | corr=902f4a50-56f4-11ea-b863-0242ac110002 | trans=1582541895-505-00000000003 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:18.639Z | lvl=INFO | corr=909c3d0e-56f4-11ea-9627-0242ac110002 | trans=1582541895-505-00000000004 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37240/v2/entities
time=2020-02-24T10:58:18.639Z | lvl=INFO | corr=909c3d0e-56f4-11ea-9627-0242ac110002 | trans=1582541895-505-00000000004 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:23.599Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 4 (new: 4)
time=2020-02-24T10:58:23.599Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T10:58:23.600Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T10:58:23.600Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 1, new: 1), released: (total: 0, new: 0)
time=2020-02-24T10:58:24.405Z | lvl=INFO | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37242/v2/entities
time=2020-02-24T10:58:24.406Z | lvl=WARN | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[432]:badInputReset | msg=Releasing alarm BadInput 0.0.0.0
time=2020-02-24T10:58:24.407Z | lvl=INFO | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=connectionOperations.cpp[182]:collectionRangedQuery | msg=Database Operation Successful (query: { query: {}, orderby: { creDate: 1 } })
time=2020-02-24T10:58:24.407Z | lvl=INFO | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=connectionOperations.cpp[182]:collectionRangedQuery | msg=Database Operation Successful (query: { query: { $or: [ { contextRegistration.entities.id: /.*/ }, { contextRegistration.entities.id: ".*", contextRegistration.entities.isPattern: "true", contextRegistration.entities.type: { $in: [] } }, { contextRegistration.entities.id: ".*", contextRegistration.entities.isPattern: "true", contextRegistration.entities.type: { $exists: false } } ], expiration: { $gt: 1582541904 } }, orderby: { _id: 1 } })
time=2020-02-24T10:58:24.407Z | lvl=INFO | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=connectionOperations.cpp[182]:collectionRangedQuery | msg=Database Operation Successful (query: { query: { $or: [ { contextRegistration.entities.id: /.*/ }, { contextRegistration.entities.id: ".*", contextRegistration.entities.isPattern: "true", contextRegistration.entities.type: { $in: [] } }, { contextRegistration.entities.id: ".*", contextRegistration.entities.isPattern: "true", contextRegistration.entities.type: { $exists: false } } ], expiration: { $gt: 1582541904 } }, orderby: { _id: 1 } })
time=2020-02-24T10:58:24.408Z | lvl=INFO | corr=940c1edc-56f4-11ea-83dc-0242ac110002 | trans=1582541895-505-00000000005 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:30.163Z | lvl=INFO | corr=977aa818-56f4-11ea-8b5a-0242ac110002 | trans=1582541895-505-00000000006 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37244/v2/noService
time=2020-02-24T10:58:30.163Z | lvl=WARN | corr=977aa818-56f4-11ea-8b5a-0242ac110002 | trans=1582541895-505-00000000006 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 0.0.0.0: service '/v2/noService' not found
time=2020-02-24T10:58:30.163Z | lvl=INFO | corr=977aa818-56f4-11ea-8b5a-0242ac110002 | trans=1582541895-505-00000000006 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T10:58:31.600Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 6 (new: 2)
time=2020-02-24T10:58:31.600Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T10:58:31.601Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T10:58:31.601Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 2, new: 1), released: (total: 1, new: 1)
time=2020-02-24T10:58:36.074Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[495]:sigHandler | msg=Signal Handler (caught signal 15)
time=2020-02-24T10:58:36.074Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[502]:sigHandler | msg=Orion context broker exiting due to receiving a signal
