time=2020-02-24T11:00:04.080Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T11:00:04.081Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T11:00:04.083Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T11:00:04.083Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T11:00:04.083Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T11:00:04.083Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T11:00:04.086Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T11:00:04.086Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T11:00:04.087Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T11:00:04.087Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T11:00:04.090Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[201]:mongoConnect | msg=Successful connection to database
time=2020-02-24T11:00:04.090Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[765]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-24T11:00:04.091Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[812]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-24T11:00:04.091Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[706]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-24T11:00:04.091Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[247]:mongoInit | msg=Connected to mongo at localhost:27017:ftest
time=2020-02-24T11:00:04.134Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { location.coords: "2dsphere" })
time=2020-02-24T11:00:04.151Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[602]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { expDate: 1 })
time=2020-02-24T11:00:04.153Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[94]:collectionQuery | msg=Database Operation Successful (query: {})
time=2020-02-24T11:00:04.158Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[1098]:main | msg=Startup completed
time=2020-02-24T11:00:05.052Z | lvl=INFO | corr=d00997b6-56f4-11ea-8f59-0242ac110002 | trans=1582542004-056-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37422/v2/noService
time=2020-02-24T11:00:05.052Z | lvl=WARN | corr=d00997b6-56f4-11ea-8f59-0242ac110002 | trans=1582542004-056-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[405]:badInput | msg=Raising alarm BadInput 0.0.0.0: service '/v2/noService' not found
time=2020-02-24T11:00:05.053Z | lvl=INFO | corr=d00997b6-56f4-11ea-8f59-0242ac110002 | trans=1582542004-056-00000000001 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T11:00:05.763Z | lvl=INFO | corr=d076220a-56f4-11ea-996e-0242ac110002 | trans=1582542004-056-00000000002 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37424/v2/entities
time=2020-02-24T11:00:05.764Z | lvl=WARN | corr=d076220a-56f4-11ea-996e-0242ac110002 | trans=1582542004-056-00000000002 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 0.0.0.0: JSON parse error
time=2020-02-24T11:00:05.764Z | lvl=INFO | corr=d076220a-56f4-11ea-996e-0242ac110002 | trans=1582542004-056-00000000002 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T11:00:06.471Z | lvl=INFO | corr=d0e21190-56f4-11ea-b71a-0242ac110002 | trans=1582542004-056-00000000003 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37426/v2/entities
time=2020-02-24T11:00:06.471Z | lvl=WARN | corr=d0e21190-56f4-11ea-b71a-0242ac110002 | trans=1582542004-056-00000000003 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 0.0.0.0: bad verb for url '/v2/entities', method 'GETT'
time=2020-02-24T11:00:06.471Z | lvl=INFO | corr=d0e21190-56f4-11ea-b71a-0242ac110002 | trans=1582542004-056-00000000003 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T11:00:07.151Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 3 (new: 3)
time=2020-02-24T11:00:07.152Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T11:00:07.152Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T11:00:07.152Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 1, new: 1), released: (total: 0, new: 0)
time=2020-02-24T11:00:07.178Z | lvl=INFO | corr=d14df98c-56f4-11ea-bb60-0242ac110002 | trans=1582542004-056-00000000004 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1844]:lmTransactionStart | msg=Starting transaction from 0.0.0.0:37428/v2/entities
time=2020-02-24T11:00:07.178Z | lvl=WARN | corr=d14df98c-56f4-11ea-bb60-0242ac110002 | trans=1582542004-056-00000000004 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=AlarmManager.cpp[393]:badInput | msg=Repeated BadInput 0.0.0.0: {"error":"ContentLengthRequired","description":"Zero/No Content-Length in PUT/POST/PATCH request"}
time=2020-02-24T11:00:07.179Z | lvl=INFO | corr=d14df98c-56f4-11ea-bb60-0242ac110002 | trans=1582542004-056-00000000004 | from=0.0.0.0 | srv=<none> | subsrv=<none> | comp=Orion | op=logMsg.h[1874]:lmTransactionEnd | msg=Transaction ended
time=2020-02-24T11:00:10.152Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[125]:logSummary | msg=Transactions: 4 (new: 1)
time=2020-02-24T11:00:10.152Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[132]:logSummary | msg=DB status: ok, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T11:00:10.153Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[139]:logSummary | msg=Notification failure active alarms: 0, raised: (total: 0, new: 0), released: (total: 0, new: 0)
time=2020-02-24T11:00:10.153Z | lvl=SUMMARY | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=logSummary.cpp[146]:logSummary | msg=Bad input active alarms: 1, raised: (total: 1, new: 0), released: (total: 0, new: 0)
time=2020-02-24T11:00:11.117Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[495]:sigHandler | msg=Signal Handler (caught signal 15)
time=2020-02-24T11:00:11.117Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=contextBroker.cpp[502]:sigHandler | msg=Orion context broker exiting due to receiving a signal
